자산유형,계좌명,종목명,코드,수량,매입가,현재가,등락율,매수금액,평가금액,섹터
국내주식,NH_CMA(7187),현대차우,005385,30,"251,600","280,000",-1.4%,"7,548,000","8,400,000",
국내주식,NH_CMA(7187),아남전자,008700,28000,"2,023","1,312",-3.4%,"56,644,000","36,736,000",
국내주식,NH_CMA(7187),일진다이아,081000,500,"22,486","12,670",-4.6%,"11,243,000","6,335,000",
국내주식,NH_CMA(7187),프로텍,053610,300,"41,561","82,800",-6.7%,"12,468,300","24,840,000",
국내주식,NH_CMA(7187),제주반도체,080220,100,"5,122","82,300",8.9%,"512,200","8,230,000",
국내주식,NH_CMA(7187),로보티즈,108490,20,"36,519","328,500",-3.7%,"730,380","6,570,000",
국내주식,NH_ISA(1020),SK텔레콤,017670,25,"58,860","101,300",-1.4%,"1,471,500","2,532,500",
국내주식,NH_ISA(1020),맥쿼리인프라,088980,100,"11,480","11,180",-0.6%,"1,148,000","1,118,000",
국내주식,NH_ISA(1020),SFA반도체,036540,230,"8,015","8,610",4.0%,"1,843,450","1,980,300",
국내주식,NH_ISA(1020),에프에스티,036810,100,"34,400","34,200",-9.0%,"3,440,000","3,420,000",
국내주식,NH_ISA(1020),유니테스트,086390,250,"18,857","17,990",-14.5%,"4,714,250","4,497,500",
국내주식,삼성_종합자문(6394),SK하이닉스,000660,1,"29,743","1,819,000",-7.7%,"29,743","1,819,000",
국내주식,삼성_종합자문(6394),엘앤에프,066970,10,"126,797","160,200",-6.7%,"1,267,970","1,602,000",
국내주식,삼성_종합자문(6394),모트렉스,000660,1400,"12,539","1,819,000",-7.7%,"17,554,600","2,546,600,000",
국내주식,삼성_종합자문(6394),천보,278280,15,"49,787","51,700",-6.0%,"746,805","775,500",
국내주식,삼성_종합자문(6394),씨아이에스,069500,10,"13,757","117,200",-6.1%,"137,570","1,172,000",
국내주식,키움_종합(3851),신풍제약,019170,220,"14,359","10,890",-4.1%,"3,158,980","2,395,800",
국내주식,키움_종합(3851),현대바이오랜드,052260,50,"4,655","4,185",-2.0%,"232,750","209,250",
국내주식,키움_종합(3851),셀트리온,068270,10,"183,963","188,800",-3.2%,"1,839,630","1,888,000",
국내주식,키움_종합(3851),박셀바이오,323990,1600,"15,632","6,420",-2.4%,"25,011,200","10,272,000",
국내주식,키움_종합(3851),SK하이닉스,000660,1,"28,871","1,819,000",-7.7%,"28,871","1,819,000",
연금,NH_연금,KODEX 은선물(H),144600,300,"6,811","12,950",-9.9%,"2,043,300","3,885,000",
연금,NH_연금,KODEX 200,069500,20,"59,035","117,200",-6.1%,"1,180,700","2,344,000",
연금,NH_연금,TIGER 차이나전기차SOL ACTIVE,371460,3000,"11,139","14,150",-2.3%,"33,417,000","42,450,000",
연금,NH_연금,TIGER 미국채10년선물,305080,500,"11,654","13,430",0.2%,"5,827,000","6,715,000",
연금,NH_연금,KODEX 단기채권,153130,10,"113,475","113,140",0.0%,"1,134,750","1,131,400",
연금,NH_연금,TIGER 구리실물,160580,500,"15,758","16,580",-4.2%,"7,879,000","8,290,000",
연금,NH_연금,KODEX 3대 농산물 선물(H),271060,900,"11,231","8,535",-3.4%,"10,107,900","7,681,500",
연금,미래에셋_연금,KODEX 은선물(H),144600,500,"4,681","12,950",-9.9%,"2,340,500","6,475,000",
연금,미래에셋_연금,KODEX 200,069500,50,"33,364","117,200",-6.1%,"1,668,200","5,860,000",
연금,미래에셋_연금,TIGER 차이나CSI300,192090,1250,"11,552","14,115",-1.8%,"14,440,000","17,643,750",
연금,미래에셋_연금,KODEX 코스닥150,229200,350,"18,302","18,975",-4.7%,"6,405,700","6,641,250",
연금,미래에셋_연금,TIGER 바이오 TOP10,271060,850,"8,634","8,535",-3.4%,"7,338,900","7,254,750",
연금,KB_IRP,KODEX 바이오,244580,50,"9,775","11,225",-3.3%,"488,750","561,250",
연금,KB_IRP,TIGER 차이나반도체 FACTSET,396520,800,"9,402","14,505",-2.7%,"7,521,600","11,604,000",
연금,KB_IRP,TIME K바이오엑티브,463050,280,"19,051","16,610",-2.9%,"5,334,280","4,650,800",
연금,KB_IRP,RISE 2차전지 TOP10,465330,263,"10,919","14,510",-5.9%,"2,871,697","3,816,130",
